VARIABLES = X, Density, U, Temperature, P, rhoU, rhoE, M
ZONE I = 100, DATAPACKING=POINT
-0.495 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.485 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.475 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.465 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.455 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.445 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.435 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.425 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.415 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.405 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.395 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.385 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.375 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.365 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.355 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.345 0.445 0.698 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.335 0.445 0.6979999999 0.027624 3.52799916 0.31061 8.92840079 2.061153622e-09 
-0.325 0.4450000003 0.6979999974 0.02762400001 3.527999164 0.3106099991 8.928400799 2.061153646e-09 
-0.315 0.4450000026 0.6979999802 0.02762400007 3.527999189 0.310609993 8.928400858 2.061154306e-09 
-0.305 0.4450000057 0.697999957 0.02762400014 3.527999224 0.3106099849 8.928400937 2.061154855e-09 
-0.295 0.4450000071 0.6979999445 0.02762400018 3.527999239 0.3106099803 8.928400972 2.061154021e-09 
-0.285 0.4450000089 0.6980001154 0.02762400009 3.527999242 0.3106100576 8.928401034 2.061155039e-09 
-0.275 0.4449943992 0.6980638739 0.02762383558 3.527933758 0.3106345142 8.92825576 2.061173419e-09 
-0.265 0.4444173563 0.7026031121 0.02760874254 3.521433854 0.3122490176 8.913278201 2.087415954e-09 
-0.255 0.4380755965 0.7506834276 0.02744749024 3.450909715 0.3288560904 8.750707695 3.784530369e-09 
-0.245 0.4231822319 0.8658434982 0.02706977485 3.287713501 0.3664095841 8.37791043 1.40879008e-08 
-0.235 0.409082607 0.9778511933 0.02670603359 3.135467494 0.4000219155 8.034249688 4.349418102e-09 
-0.225 0.3984840797 1.063728652 0.0264262934 3.022241218 0.4238789328 7.781049127 2.488679547e-09 
-0.215 0.3895172461 1.137832108 0.02618566191 2.927333105 0.4432052292 7.570479333 2.471224703e-09 
-0.205 0.3811343084 1.208237726 0.02595743683 2.839368414 0.4605008502 7.376618285 2.160637877e-09 
-0.195 0.373088551 1.277392737 0.02573822485 2.755956823 0.4765806052 7.19428236 2.140644829e-09 
-0.185 0.3652968204 1.344691013 0.02551312996 2.674801327 0.4912113514 7.017267063 2.218661844e-09 
-0.175 0.3577523652 1.412206227 0.02532434382 2.600175198 0.5052201177 6.857175494 2.230560377e-09 
-0.165 0.3512278569 1.469732617 0.02507318553 2.52743715 0.5162110375 6.697938975 3.584295507e-09 
-0.155 0.3452149311 1.519480015 0.0250439703 2.481273562 0.5245471887 6.60170339 2.096957918e-09 
-0.145 0.344237318 1.543037261 0.02480717128 2.45085203 0.5311710083 6.536938404 3.26137971e-09 
-0.135 0.3414933503 1.5510693 0.02490639548 2.441040741 0.5296798518 6.513386931 2.604443476e-09 
-0.125 0.3417845927 1.552146474 0.02489740685 2.442240867 0.5304997503 6.517308826 2.165434748e-09 
-0.115 0.3435628891 1.541154122 0.02485245856 2.450515768 0.5294833628 6.534297153 2.53221977e-09 
-0.105 0.3439145281 1.532978036 0.02492054108 2.459743868 0.5272134178 6.553462965 2.714221119e-09 
-0.095 0.3442556687 1.533636198 0.02492871573 2.462991439 0.527962955 6.562330146 2.201994925e-09 
-0.085 0.3445110037 1.533451396 0.02491179725 2.463145434 0.5282908796 6.562917779 2.119217126e-09 
-0.075 0.3447803441 1.529255697 0.02493048602 2.466920425 0.5272573053 6.570456681 2.259434814e-09 
-0.065 0.3448725079 1.523341086 0.02496902523 2.471394411 0.5253584608 6.578636091 2.624257625e-09 
-0.055 0.3450181107 1.523630046 0.02493457242 2.469026292 0.5256799599 6.573036621 2.140651154e-09 
-0.045 0.3448314407 1.527982289 0.02490571024 2.464834048 0.526896334 6.564629254 2.545287656e-09 
-0.035 0.3444100461 1.529574425 0.02494736287 2.465939128 0.5268007984 6.567738334 2.08759144e-09 
-0.025 0.34497353 1.523627929 0.02497418124 2.47262883 0.5256113051 6.581990107 2.946713493e-09 
-0.015 0.3457090169 1.522120124 0.02492886869 2.473404655 0.5262106518 6.58398955 2.176352767e-09 
-0.005 0.344956283 1.529593732 0.02491581364 2.466726674 0.5276429682 6.570356374 2.792090118e-09 
0.005 0.3439817621 1.531674346 0.02495982461 2.464102918 0.5268680405 6.563752424 2.399706708e-09 
0.015 0.344778368 1.523933719 0.02496297078 2.470120697 0.5254193806 6.575653899 2.593678225e-09 
0.025 0.3459284158 1.519983379 0.0249222036 2.474312643 0.5258054421 6.585389374 2.638413427e-09 
